date_of_calculation,code_of_stock,name_of_stock,name_of_short_seller,address_of_short_seller,name_of_discretionary_investment_contractor,address_of_discretionary_investment_contractor,name_of_investment_fund,ratio_of_short_positions_to_shares_outstanding,number_of_short_positions_in_shares,number_of_short_positions_in_trading_units,date_of_calculation_in_previous_reporting,ratio_of_short_positions_in_previous_reporting,notes
2025-07-07,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0148,8934878,89348,2025-07-04,0.0159,
2025-07-04,3350,Metaplanet Inc.,Barclays Capital Securities Ltd,"1 Churchill Place, London, E14 5HP, United Kingdom",,,,0.030600000000000002,20093988,200939,2025-06-26,0.0292,
